Name,Score,Date,Game time,;
Blazo,29,2018-06-01,17:48,;
Ktos,22,2018-06-01,14:48,;
Maciek,33,2018-05-04,14:48,;
sdfdsf,25,2018-05-04,14:48,;
jwjj,56,2018-05-04,14:48,;
hgrhh,11,2018-05-04,14:48,;
hgrhh,7,2018-05-04,14:48,;
hgrhh,2,2018-05-04,14:48,;
asdasd,50,2018-06-13,00:22,;
wsertew,95,2018-06-13,00:23,;
xfgf,127,2018-06-13,00:17,;
hjb,14,2018-06-15,01:19,;
dffgt,32,2018-06-15,00:35,;
dfgff,4,2018-06-15,00:07,;
jhyg,42,2018-06-15,00:17,;
fgg,3,2018-06-15,00:06,;
,9,2018-06-15,01:19,;
Sksd,34,2018-06-15,00:40,;
fgh,39,2018-06-15,01:40,;
,5,2018-06-15,01:57,;
edfd,1,2018-06-15,02:04,;
dsf,2,2018-06-15,00:04,;
asd,11,2018-06-15,00:54,;
jhg,33,2018-06-15,00:43,;
dfdf,42,2018-06-15,01:59,;
hggnh,15,2018-06-15,00:23,;
edfedf,0,2018-06-15,00:04,;
dfdc,11,2018-06-15,00:08,;
gfc,1,2018-06-15,00:09,;
r,19,2018-06-15,01:04,;
xsdcfds,11,2018-06-15,00:14,;
fhgf,9,2018-06-15,00:27,;
,1,2018-06-15,00:09,;
fgfgf,0,2018-06-15,00:02,;
asd,17,2018-06-15,00:49,;
fgf,35,2018-06-15,00:47,;
tt,15,2018-06-15,00:29,;
efse,13,2018-06-15,00:12,;
sdf,18,2018-06-15,00:30,;
fgf,14,2018-06-15,01:13,;
sdfsdf,76,2018-06-15,00:49,;
esd,37,2018-06-15,01:48,;
,8,2018-06-15,00:16,;
sdfs,13,2018-06-15,00:51,;
ghg,3,2018-06-15,00:04,;
sd,4,2018-06-15,00:02,;
cvc,4,2018-06-15,00:03,;
bnb,4,2018-06-15,00:03,;
asd,4,2018-06-15,00:03,;
edfe,4,2018-06-15,00:03,;
dsfd,4,2018-06-15,00:03,;
TestZap,106,2018-06-15,01:00,;
asas,61,2018-06-15,01:01,;
fy,43,2018-06-15,00:49,;
sdsd,0,2018-06-15,00:07,;
rtrt,12,2018-06-15,00:37,;
dsf,2,2018-06-15,00:05,;
bvb,0,2018-06-15,00:02,;
ffd,37,2018-06-15,00:16,;
sdf,51,2018-06-15,00:48,;
fgf,0,2018-06-15,00:07,;
sdf,0,2018-06-15,00:06,;
,0,2018-06-15,00:12,;
vbvb,66,2018-06-15,00:14,;
ddfdd,209,2018-06-15,01:23,;
sds,0,2018-06-15,00:06,;
fgfg,19,2018-06-16,00:17,;
wewer,37,2018-06-16,00:47,;
vbvb,0,2018-06-16,00:42,;
sd,0,2018-06-16,00:13,;
zxc,0,2018-06-16,00:07,;
ere,35,2018-06-16,00:11,;
dfd,154,2018-06-16,01:10,;
fgfg,97,2018-06-16,01:32,;
sdf,147,2018-06-16,00:17,;
sdf,138,2018-06-16,00:14,;
dfg,153,2018-06-16,00:15,;
sdf,24,2018-06-16,00:20,;
gnghg,135,2018-06-16,00:28,;
sdf,11,2018-06-16,00:08,;
sdf,264,2018-06-16,00:29,;
jh,28,2018-06-16,00:35,;
asd,0,2018-06-16,00:05,;
asd,0,2018-06-16,00:02,;
seef,0,2018-06-16,00:04,;
futyu,164,2018-06-16,00:36,;
sdf,46,2018-06-16,00:35,;
cdfdc,42,2018-06-16,00:50,;
xzcx,13,2018-06-16,00:11,;
sdf,72,2018-06-16,00:36,;
,24,2018-06-16,00:43,;
hb,8,2018-06-16,00:16,;
fgfg,13,2018-06-16,00:14,;
,9,2018-06-16,00:17,;
sdf,9,2018-06-16,00:10,;
df,15,2018-06-16,00:09,;
,123,2018-06-16,00:18,;
df,28,2018-06-16,00:27,;
sdf,16,2018-06-16,00:24,;
asd,16,2018-06-16,00:20,;
xcvc,17,2018-06-16,00:21,;
fgfd,7,2018-06-16,00:20,;
sdf,10,2018-06-16,00:14,;
fcbgf,23,2018-06-16,00:30,;
sdfsdf,25,2018-06-16,00:24,;
gfh,31,2018-06-16,00:28,;
szdfsd,56,2018-06-16,00:55,;
xvc,13,2018-06-16,00:22,;
fgh,11,2018-06-16,00:08,;
dsdf,13,2018-06-16,00:08,;
zxcxz,23,2018-06-16,00:17,;
sdf,13,2018-06-16,00:07,;
sdf,13,2018-06-16,00:24,;
sc,13,2018-06-16,00:29,;
zxcx,13,2018-06-16,00:29,;
sdf,27,2018-06-16,00:50,;
gfx,33,2018-06-16,00:37,;
fgfg,0,2018-06-16,02:08,;
sdfsdf,36,2018-06-16,01:07,;
fgdfg,7,2018-06-16,00:12,;
hgfc,25,2018-06-16,00:36,;
dfg,48,2018-06-16,00:59,;
sdf,25,2018-06-16,00:57,;
xzcxz,126,2018-06-16,00:21,;
fgd,6,2018-06-16,00:05,;
asd,6,2018-06-16,05:53,;
sdf,8,2018-06-16,00:24,;
asd,6,2018-06-16,02:50,;
sdf,6,2018-06-16,02:30,;
dfgd,6,2018-06-16,03:13,;
sdc,6,2018-06-16,00:33,;
,1,2018-06-16,03:14,;
dfg,1,2018-06-16,01:10,;
sdf,1,2018-06-16,00:51,;
sdf,1,2018-06-16,04:16,;
sdf,2,2018-06-16,02:02,;
asd,12,2018-06-16,00:24,;
sdf,365,2018-06-16,04:35,;
sdfd,3,2018-06-16,00:05,;
,132,2018-06-16,00:48,;
asd,40,2018-06-16,00:23,;
dfdf,53,2018-06-16,00:36,;
dfg,144,2018-06-16,00:17,;
dsd,37,2018-06-16,00:28,;
sdf,175,2018-06-16,00:51,;
